11648,-0.562720
11649,-1.125220
11650,-1.350220
11651,-2.137720
11652,-1.968970
11653,-0.225220
11654,0.281250
11655,0.112500
11656,1.350000
11657,2.756250
11658,1.462500
11659,1.068750
11660,2.362500
11661,2.868750
11662,1.856250
11663,1.912500
11664,2.531250
11665,3.656250
11666,5.006250
11667,5.456250
11668,3.712500
11669,2.362500
11670,3.206250
11671,3.656250
11672,2.475000
11673,2.193750
11674,2.531250
11675,2.812500
11676,3.600000
11677,4.781250
11678,5.118750
11679,3.993750
11680,3.825000
11681,4.556250
11682,4.612500
11683,4.612500
11684,4.556250
11685,4.500000
11686,4.837500
11687,4.781250
11688,3.825000
11689,2.756250
11690,2.925000
11691,2.868750
11692,1.518750
11693,1.125000
11694,2.475000
11695,3.037500
11696,2.306250
11697,2.025000
11698,2.025000
11699,1.125000
11700,1.068750
11701,1.856250
11702,1.012500
11703,-0.900220
11704,-0.675220
11705,0.675000
11706,1.968750
11707,2.925000
11708,3.768750
11709,3.093750
11710,2.193750
11711,2.137500
11712,2.081250
11713,1.575000
11714,1.350000
11715,1.406250
11716,1.125000
11717,1.181250
11718,2.756250
11719,3.712500
11720,2.700000
11721,2.137500
11722,2.981250
11723,3.262500
11724,3.431250
11725,4.275000
11726,5.118750
11727,5.568750
11728,5.962500
11729,-7.200000
11730,6.525000
11731,5.006250
11732,4.218750
11733,3.600000
11734,2.868750
11735,3.262500
11736,4.106250
11737,4.893750
11738,5.737500
11739,6.525000
11740,5.456250
11741,3.881250
11742,3.037500
11743,2.531250
11744,1.968750
11745,1.968750
11746,2.081250
11747,2.025000
11748,2.025000
11749,2.306250
11750,1.631250
11751,-0.000220
11752,-0.281470
11753,-0.225220
11754,-1.068970
11755,-2.137720
11756,-2.531470
11757,-2.250220
11758,-0.618970
11759,0.675000
11760,0.450000
11761,-1.068970
11762,-1.293970
11763,-0.562720
11764,-0.506470
11765,-0.675220
11766,0.056250
11767,1.237500
11768,1.856250
11769,2.362500
11770,3.093750
11771,1.912500
11772,0.450000
11773,0.450000
11774,1.125000
11775,1.237500
